"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
526;519;"Nebengrab 20";"Nur Knochenreste";2;9;3;11
527;520;"Nebengrab 21";"Erwachsener";2;4;3;11
527;1670;"Nebengrab 22";"Kind";2;4;3;11
530;523;"Nebengrab 23";"nur ein einzelner Schädel, Infans I";2;9;3;11
531;524;"Nebengrab 24";"Körperbestattung, matur bis senil, männlich?";2;4;2;11
531;1673;"Nebengrab 25";"Körperbestattung, Ende 30 bis matur, männlich?";2;9;2;5
534;527;"Nebengrab 26";"Körperbestattung, männlich, etwa 18jährig";2;17;3;11
534;1674;"Nebengrab 27";"Körperbestattung";2;17;3;11
535;528;"Nebengrab 28";"Körperbestattung, wohl jugendliches Individuum mit Milchzähnen [das paßt ja wohl nicht ganz!]";2;9;3;11
537;530;"Nebengrab 3";"Infans I";2;12;2;11
538;531;"Nebengrab 30";"Tibia eines Erwachsenen";2;9;3;11
539;532;"Nebengrab 31";"Verstreute Knochen";2;9;3;11
540;533;"Nebengrab 32";"Körperbestattung, Schädel nur noch fragmentarisch erhalten";2;4;2;11
541;534;"Nebengrab 33";"Fast völlig zerstörte Körperbestattung";2;5;3;11
542;535;"Nebengrab 4";"Nur Schädel erhalten";2;4;3;11
543;536;"Bestattung 5";"Männliches, adultes Individuum, 30-40 Jahre";2;4;2;11
543;1678;"Bestattung 6";"Adultes, männliches Individuum";2;8;3;11
546;539;"Nebengrab 7";"Knochenreste";2;9;3;11
547;540;"Nebengrab 8";"Infans I";2;4;2;11
548;541;"Nebengrab 9";"teilweise erhaltene Körperbestattung eines Erwachsenen";2;13;3;11
549;542;"Zentralgrab";"Körperbestattung, männlich, um 30, weit verstreut";2;9;3;7
552;545;"Körperbestattung";"Skelettreste, angeblich von ""jungem"" Individuum";2;9;3;11
554;547;"Körperbestattung?";"Wohl vergangenes Skelett [Ausrichtung angeblich nach S]";2;9;4;11
555;548;"Körperbestattung?";"Wohl vergangenes Skelett";2;9;4;11
556;549;"Körperbestattung";"Wohl vergangenes Skelett [Orientierung zu unsicher]";2;9;4;11
557;550;"Körperbestattung";"Wenige Skelettteile; senil [Orientierung angeblich nach SSW]";2;14;3;11
559;552;"Körperbestattung?";"Wohl vergangenes Skelett, angeblich kindlich [genaue Orientierung unsicher]";2;9;4;11
560;553;"Körperbestattung?";"Wohl vergangenes Skelett";2;9;4;11
561;554;"Körperbestattung";"Schädel relativ vollständig; anscheinend männlich, matur [Orientierung unsicher]";2;9;3;11
562;555;"Körperbestattung?";"Skelettreste?";2;9;4;11
563;556;"Körperbestattung?";"Wohl vergangenes Skelett [Orientierung angeblich nach SO, aber unsicher]";2;9;4;11
564;557;"Körperbestattung";"Vor allem Schädelbruchstücke; anscheinend männlich, wahrscheinlich über 45 Jahre";2;13;3;11
565;558;"Körperbestattung";"unter einem Steinsatz zwei dicht übereinanderliegende Skelette (Doppelbestattung?); ein Individiuum wahrscheinlich männlich, matur; ein Tibiaschaftstück überzählig";2;13;3;11
566;559;"Körperbestattung";"Skelettreste";2;9;3;11
567;560;"Körperbestattung";"Schlecht erhaltenes Skelett";2;9;3;11
568;561;"Körperbestattung";"In Spuren nachweisbares Skelett; angeblich N-S-orientiert [angeblich 1,7 m lang, demnach juvenil oder älter]";2;9;3;11
576;569;"Körperbestattung";"Skelett mit Kopf im S [Angabe wohl eher ungefähr]";2;9;3;11
579;572;"Körperbestattung";"Wohl vergangene Körperbestattung";2;13;4;11
580;573;"Körperbestattung";"Schlecht erhaltenes Skelett";2;15;3;11
581;574;"Körperbestattung";"Geringe Skelettreste [Orientierung nach SSO mit Tendenz nach S; nach Körperlänge mind. juvenil]";2;13;3;1
582;575;"Körperbestattung";"Schlecht erhaltenes Skelett [Orientierung nach SSO mit starker Tendenz nach S; nach Länge von ca. 1,7 m mind. juvenil]";2;13;3;1
583;576;"Körperbestattung";"Wohl vergangene Körperbestattung [Orientierung nach Lage der Fibeln interpoliert: SSO mit Tendenz nach S]";2;13;4;11
586;579;"Körperbestattung";"Wohl vergangene Körperbestattung, nach Fibellage mit Kopf im SO";2;4;4;11
587;580;"Körperbestattung";"Wohl vergangene Körperbestattung";2;13;4;11
588;581;"Körperbestattung";"Wohl vergangene Körperbestattung, Orientierung nach Lage der Beigaben";2;4;4;11
589;582;"Körperbestattung";"Wohl vergangene Körperbestattung";2;13;4;11
590;583;"Körperbestattung";"Wohl vergangene Körperbestattung [unter Annahme, daß Fibeln in situ liegen, mit Kopf im O; Orientierung ONO mit Tendenz nach NO]";2;11;4;11
591;584;"Brandbestattung";"Leichenbrand von 2 Stellen, männlich, 20-30jährig";3;9;3;11
592;585;"Körperbestattung";"Wohl vergangene Körperbestattung [nach Beigabenlage mit Kopf im S; Orientierung nach S mit Tendenz nach SSW; nach Körperlänge von ca. 1,6 m mind. juvenil]";2;5;4;11
593;586;"Körperbestattung";"Nur Zähne vorhanden [nach Fundlage wohl juvenil oder jünger]";2;14;3;11
594;587;"Körperbestattung";"Wohl vollkommen vergangene Körperbestattung";2;9;4;11
596;589;"Körperbestattung";"Wenige Skelettreste [nach Länge von ca. 1,6 m mind. juvenil]";2;12;3;1
599;592;"Körperbestattung";"Keine Skelettreste beobachtet";2;4;4;11
600;593;"Körperbestattung";"Wohl vergangene Körperbestattung [vermutlich SW ausgerichtet]";2;9;4;11
602;595;"Körperbestattung";"Wohl vergangene Körperbestattung";2;9;4;11
603;596;"Körperbestattung";"In Spuren nachweisbare Körperbestattung [nach Länge von ca. 1,6 m mind. juvenil]";2;5;3;1
606;599;"Körperbestattung";"Geringe Skelettreste [Orientierung wohl nach SSO mit starker Tendenz nach S]";2;13;3;11
608;601;"Körperbestattung";"Nur Zähne erhalten";2;13;3;11
610;603;"Körperbestattung";"Wenige Zahn- und Schädelreste";2;11;3;11
619;615;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
622;618;"Körperbestattung";"Wohl vollkommen vergangenes Skelett";2;9;4;11
624;620;"Körperbestattung?";"Wohl vollkommen vergangenes Skelett";2;9;4;11
629;625;"Körperbestattung?";"Keine Skeletterhaltung, nach Beigaben Orientierung nach Zürn SSO-NNW";2;13;4;11
632;628;"Brandbestattung";"Ausgestreuter Leichenbrand";3;9;3;11
633;629;"Brandbestattung";"Wohl Leichenbrand";3;9;3;11
635;631;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
636;632;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
637;633;"Nachbestattung";"Skelett [?]";2;9;3;11
638;634;"Körperbestattung?";"Skelett[?]";2;9;3;11
669;666;"Brandbestattung";"Leichenbrand, in Scheiterhaufenresten";3;9;3;11
670;667;"Brandbestattung";"Leichenbrand";3;9;3;11
678;675;"Körperbestattung";"Skelettreste [nach Länge mind. juvenil]";2;13;3;1
679;676;"Körperbestattung";"Fast vollkommen vergangenes Skelett";2;15;3;11
680;677;"Körperbestattung";"Schlecht erhaltenes Skelett";2;5;3;11
681;678;"Körperbestattung";"Geringe Skelettreste";2;13;3;11
682;679;"Körperbestattung";"Skelettreste";2;13;3;11
683;680;"Körperbestattung";"Schlecht erhaltenes Skelett";2;13;3;11
684;681;"Körperbestattung";"Skelett, schlecht erhalten";2;5;3;11
687;684;"41";"Schädelfragmente; anscheinend männlich, matur (über 50jährig)";2;5;3;8
705;702;"Körperbestattung";"Skelettreste, angeblich mit jugendlichen Zähnen";2;7;3;11
706;703;"Körperbestattung";"Skelett";2;6;3;11
707;704;"Körperbestattung";"Schädel und Wirbel; männlich?, 20-30jährig";2;3;3;11
708;705;"Körperbestattung";"Skelettreste";2;7;3;11
709;706;"Körperbestattung";"Schädel und Femurbruchstücke; senil";2;6;3;11
710;707;"Körperbestattung";"Skelett";2;15;3;11
711;708;"Körperbestattung";"Skelett";2;6;3;11
712;709;"Körperbestattung";"Skelett";2;6;3;11
713;710;"Körperbestattung";"Skelett";2;5;3;11
714;711;"Körperbestattung";"Schädel- und Extremitätenbruchstücke; matur (bis senil)";2;6;3;11
718;715;"Körperbestattung?";"Wohl vollkommen vergangenes Skelett";2;4;4;11
719;716;"Körperbestattung";"Zahnreste";2;9;3;11
722;719;"Körperbestattung";"Schlecht erhaltenes Skelett, linker Arm leicht angewinkelt [nach Körperlänge von mind. 1,6 m mind. juvenil]";2;16;3;1
723;721;"Individuum 1";"""Männerbestattung"", auf rechter Körperseite, linker Arm abgewinkelt, adult, eher männlich [Gallay gibt nicht genau an, auf welches Individuum sich ihre Bestimmung bezieht; arch. Zuweisung aber relativ eindeutig]";2;12;1;2
723;722;"Grab 100,2";"""Frauenbestattung"", auf linker Körperseite, linker Arm abgewinkelt, adult, eher weiblich [Gallay gibt nicht genau an, auf welches Individuum sich ihre Bestimmung bezieht; arch. Zuweisung aber relativ eindeutig]";2;12;1;6
724;723;"Körperbestattung";"Skelett gut nachweisbar, beide Arme angewinkelt im Beckenbereich liegend; mind. adult, weiblich";2;3;1;1
725;724;"Körperbestattung";"Skelett schlecht erhalten; infans II";2;4;3;1
726;725;"Körperbestattung";"Leidlich erhaltenes Skelett; wohl juvenis, eher weiblich?";2;12;2;1
727;726;"Körperbestattung";"Schlecht erhaltenes Skelett; adult?";2;3;3;1
728;727;"Körperbestattung";"Skelett leidlich erhalten, auf rechter Seite, Arme vor Becken aneinandergelegt; adult/matur";2;12;1;1
729;729;"Körperbestattung";"Gut beobachtbares Skelett; adult, eher männlich?";2;12;1;1
729;730;"Grab 106,2";"Leichenbrand, in Urne; Infans I";3;9;1;9
730;731;"Körperbestattung";"Skelett schlecht erhalten, linker Arm wohl angewinkelt auf Hüfte liegend [nach erhaltenen Knochen mind. Infans II]";2;11;3;1
731;732;"Körperbestattung";"Skelett schlecht erhalten, aber gut nachweisbar; matur?, eher männlich";2;3;1;1
732;733;"Körperbestattung";"Schlecht erhaltenes Skelett [nach L. von mind. 1,5 m mind. juvenil]";2;3;3;1
733;734;"Grab 11";"Fast vollständig vergangenes Skelett [nach Körperlänge mind. juvenil]";2;2;3;1
734;735;"Grab 110";"Gut beobachtbares Skelett; adult";2;11;1;1
735;736;"Körperbestattung";"Skelett schlecht erhalten, gut beobachtbar; wohl adult";2;11;1;1
736;737;"Körperbestattung";"Skelett schlecht erhalten; matur, eher männlich";2;3;3;1
737;739;"Individuum 1";"nördliche Bestattung; Skelett leidlich erhalten; adult, eher männlich";2;3;1;2
737;740;"Individuum 2";"südliche Bestattung; leidlich erhalten; mind. adult";2;3;1;6
738;742;"Individuum 1";"N Skelett, relativ gut erhalten; matur, eher männlich";2;12;2;2
738;743;"Individuum 2";"S Skelett, leidlich erhalten; infans II, eher männlich?";2;12;2;6
739;744;"Körperbestattung";"Knochenreste";2;9;3;11
740;745;"Körperbestattung";"Schlecht erhaltenes Skelett; senil, eher männlich";2;11;3;1
741;746;"Körperbestattung";"Skelett leidlich erhalten, aber wohl verzogen; spätjuvenil, eher weiblich";2;11;3;1
742;747;"Körperbestattung";"Skelett sehr schlecht erhalten; angeblich sicher nur 1 Individuum; matur?, eher männlich";2;5;3;1
743;748;"Körperbestattung";"Skelett eher schlecht erhalten, linker Arm offensichtlich extrem zur linken Schulter angewinkelt; matur, eher männlich";2;5;3;8
744;749;"Körperbestattung";"Skelett fast vollständig vergangen, nach Lage der Beigaben Kindergrab";2;10;3;11
745;750;"Körperbestattung";"Skelett leidlich erhalten und nachweisbar; rechtes Bein leicht angezogen, rechter Arm offensichtlich angewinkelt; matur, eher weiblich";2;14;2;1
746;751;"Körperbestattung";"Skelett gut erhalten; adult, männlich";2;10;1;1
747;752;"Körperbestattung";"Skelett eher schlecht erhalten; adult";2;2;3;1
748;753;"Grab 123";"Skelett schlecht erhalten, aber gut beobachtbar; adult, eher männlich";2;4;1;1
749;754;"Grab 124";"Skelett nur teilweise erhalten; mind. adult, eher männlich";2;11;3;1
750;755;"Körperbestattung";"Skelett schlecht erhalten und verlagert; matur, eher weiblich";2;2;3;1
751;756;"Körperbestattung";"Im wesentlichen nur Schädel erhalten; spätjuvenil/frühadult, eher weiblich";2;11;3;1
752;757;"Körperbestattung";"Skelett gut erhalten; adult, weiblich";2;11;1;1
753;758;"Körperbestattung";"Schlecht erhaltenes Skelett, adult, Lage aber noch weitgehend rekonstruierbar";2;11;2;1
754;759;"Brandbestattung";"Leichenbrand, frühadult, vielleicht männlich";3;9;2;11
755;760;"Körperbestattung";"Schlecht erhaltenes Skelett, Lage aber noch rekonstruierbar; mind. adult";2;3;2;1
756;761;"Körperbestattung";"Schlecht erhaltenes Skelett, Lage aber noch rekonstruierbar; mind. adult";2;3;2;1
757;762;"Körperbestattung";"Befriedigend erhaltenes Skelett; adult, eher männlich; rechte Hand randlich auf rechter Beckenschaufel ruhend";2;12;1;1
758;763;"Körperbestattung";"Skelett schlecht erhalten, ungefähre Lage aber zu rekonstruieren; adult";2;3;2;1
759;764;"Körperbestattung";"Schlecht erhaltenes Skelett; adult";2;3;3;1
760;765;"Grab 2";"Schlecht erhaltenes Skelett, wohl adult; Arme angewinkelt und Hände in Bauchgegend zusammengelegt";2;11;2;1
761;766;"Körperbestattung";"Schlecht erhaltenes Skelett, adult";2;3;3;1
762;767;"Körperbestattung";"Skelett schlecht erhalten, linkes Bein leicht angewinkelt [nach Lage der Beigaben mind. 1,6 m lang, damit mind. juvenil]";2;3;3;1
763;768;"Brandbestattung";"Leichenbrandhäufchen; erwachsen";3;9;1;11
764;770;"Südliche Bestattung";"Schlecht erhaltenes Skelett, adult [nach Beigaben weiblich]";2;3;3;6
764;771;"Nördliche Bestattung";"Schlecht erhaltenes Skelett, adult [die Anthroplogin Gallay gibt als Alter adult an, Spindler dagegen ""Kind""]";2;3;3;2
765;772;"Körperbestattung";"Schlecht erhaltenes Skelett, adult";2;12;3;1
766;773;"Körperbestattung";"Schlecht erhaltenes Skelett, adult?";2;2;3;1
767;774;"Körperbestattung";"Schlecht erhaltenes Skelett, infans I";2;2;3;1
768;775;"Körperbestattung";"Schlecht erhaltenes Skelett, infans II/juvenis";2;11;3;1
769;776;"Brandbestattung";"Verstreuter Leichenbrand, spätadult, sicher männlich";3;9;2;1
770;777;"Körperbestattung";"Relativ gut erhaltenes Skelett, adult";2;2;1;1
771;778;"Körperbestattung";"Schlecht erhaltenes Skelett; mind. adult";2;15;3;11
772;779;"Körperbestattung";"Verlagertes Skelett; frühadult?; dabei Zahn eine weiteren Individuums";2;9;3;11
773;780;"Körperbestattung";"Gut beobachtbares Skelett, adult-frühmatur";2;12;2;1
774;781;"Körperbestattung";"mäßig erhaltenes Skelett, linker Arm in Beckenregion, rechter Arm rechtwinklig angewinkelt in Bauchregion; wohl mind. adult";2;10;2;1
775;782;"Körperbestattung";"Zahnreste; infans?";2;2;3;1
776;783;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Körperlänge von ca. 1,6 m mind. juvenil]";2;10;3;1
777;784;"Körperbestattung";"Nur Zahnreste, Infans";2;5;3;11
778;785;"Körperbestattung";"Schlecht erhaltenes Skelett; adult bis frühmatur [also 20-50 oder 20-47?; hier ersteres angenommen]";2;10;3;1
779;786;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Länge von ca. 1,4 m infans II/juvenil]";2;5;3;1
780;788;"Individuum 1";"Sehr schlecht erhaltenes Skelett [bei Spindler als linke/westliche Bestattung bezeichnet; nach Länge von mind. 1,5 m wohl mind. juvenil]";2;14;3;1
780;789;"Individuum 2";"Sehr schlecht erhaltenes Skelett [bei Spindler als rechte/östliche Bestattung bezeichnet; nach Länge von mind. 1,5 m wohl mind. juvenil]";2;14;3;4
781;790;"Körperbestattung";"Schlecht erhaltenes Skelett, adult/matur [nach Spindler mit angezogenen Beinen und angewinkeltem rechten Arm; Knochen scheinen aber insgesamt verlagert zu sein]";2;5;3;4
782;791;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Länge von 1,6 mind. juvenil]";2;11;2;1
783;792;"Brandbestattung";"Leichenbrandhäufchen (Dm. 0,4 m), mit etwas Holzkohle; spätadult oder älter, vermutlich männlich";3;9;1;2
784;793;"Körperbestattung";"Gut beobachtbares Skelett, schlecht erhalten; adult?";2;5;2;1
785;794;"Körperbestattung";"Schlecht erhaltenes Skelett, infans II";2;5;3;1
786;795;"Körperbestattung";"Gut beobachtbares, aber schlecht erhaltenes Skelett; adult/frühmatur [wohl 20-50jährig]";2;13;2;1
787;796;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Länge von mind. 1,5 m mind. juvenil]";2;5;3;1
788;797;"Körperbestattung";"Nur Zahnreste erhalten; infans?";2;5;3;1
789;798;"Körperbestattung";"Sehr schlecht erhaltenes Skelett [Spindler schließt auch Doppelbestattung nicht aus]";2;5;3;1
790;799;"Körperbestattung";"Skelett leidlich erhalten, oberer Teil etwas gestört [insofern auch angewinkelter rechter Unterarm nicht eindeutig]; adult/frühmatur [hier wohl 20-50jährig]";2;13;2;1
791;800;"Körperbestattung";"Sehr schlecht erhaltenes Skelett [Orientierung nach Beigaben]";2;13;3;1
792;801;"Körperbestattung";"Mäßig erhaltenes Skelett, adult (?)";2;13;2;1
793;802;"Körperbestattung";"Mäßig erhaltenes Skelett, adult, eher weiblich; linker Unterarm ganz leicht, rechter stärker angewinkelt [Skelett nach Text im Uhrzeigersinn orientiert, nach Plan gegen Uhrzeigersinn]";2;15;2;1
794;803;"Körperbestattung";"Mäßig erhaltenes Skelett, teilweise verlagert; adult";2;13;3;1
795;804;"Körperbestattung";"Gut erhaltenes Skelett; matur/frühsenil";2;13;1;1
796;805;"Körperbestattung";"Mäßig erhaltenes Skelett, 12jährig";2;13;2;1
797;806;"Körperbestattung";"Relativ gut erhaltenes Skelett, matur, weiblich";2;13;2;1
798;807;"Körperbestattung";"Relativ gut erhaltenes Skelett, matur, männlich";2;12;1;1
799;808;"Körperbestattung";"Schlecht erhaltenes Skelett [Orientierung nach Beigaben]";2;3;3;1
800;810;"Körperbestattung";"Gut erhaltenes Skelett, linker Arm leicht angewinkelt in linker Beckenregion liegend; adult, weiblich";2;12;1;1
800;811;"Brandbestattung";"Leichenbrand, s der Körperbestattung, wohl in Birkenrindenbehälter; infans II/juvenil";3;9;2;6
801;812;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Länge von mind.1,5 m mind. juvenil]; Anwinklung des linken Armes könnte auch durch Verlagerung bewirkt sein";2;3;3;1
802;813;"Körperbestattung";"Mäßig erhaltenes Skelett mit stark angewinkelten Unterarmen; mind. adult";2;4;2;1
803;814;"Körperbestattung";"Sehr schlecht erhaltenes Skelett [Orientierung nach Gürtellage]";2;4;3;1
804;815;"Körperbestattung";"Nur Zahnschmelz erhalten; infans II; nach Lage der Beigaben ONO-orientiert";2;11;3;2
805;816;"Körperbestattung";"Sehr schlecht erhaltenes Skelett";2;4;3;1
806;817;"Körperbestattung";"Schlecht erhaltenes Skelett, aber noch relativ gut beobachtbar [nach L. von ca. 1,7 m mind. juvenil]";2;12;2;1
807;818;"Körperbestattung";"Skelett schlecht erhalten, aber gut beobachtbar [nach L. von ca. 1,8 m mind. juvenil]";2;12;2;1
808;819;"Körperbestattung";"Relativ gut erhaltenes Skelett; 18-20jährig, eher männlich?";2;12;1;1
809;820;"Körperbestattung";"Schlecht erhaltenes Skelett [nach L. von mind. 1,6 m mind. juvenil]";2;5;3;1
810;821;"Körperbestattung";"Skelett mäßig erhalten, linker Unterarm angewinkelt [geradezu in linke Seite gestemmt], linkes Bein leicht angewinkelt [könnte auch verlagert sein] [nach L. von mind. 1,5 m mind. juvenil]";2;13;2;1
811;822;"Körperbestattung";"Schlecht erhaltenes Skelett, aber noch hinreichend beobachtbar";2;13;2;1
812;824;"Individuum 1";"rechte/nö Bestattung: schlecht erhaltenes Skelett [nach L. von 1,6 m mind. juvenil]";2;4;2;3
812;825;"Individuum 2";"linke/sw Bestattung: sehr schlecht erhaltenes Skelett [nach L. von ca. 1,6 m mind. juvenil]";2;4;3;7
813;826;"Körperbestattung";"Schlecht erhaltenes Skelett [nach L. von mind. 1,5 m mind. juvenil]";2;4;3;1
814;827;"Körperbestattung";"Skelett in Spuren erhalten, aber hinreichend beobachtbar: beide Unterarm angewinkelt, rechter in Bauchregion, linker in Beckenregion liegend [nach L. von ca. 1,6 m mind. juvenil]";2;17;2;1
815;828;"Körperbestattung";"Schlecht erhaltenes Skelett, adult";2;3;3;11
816;829;"Körperbestattung";"Schlecht erhaltenes Skelett, adult?";2;13;3;1
817;830;"Körperbestattung";"Skelett schlecht erhalten, aber gut beobachtbar; matur/frühsenil?";2;13;1;1
818;831;"Körperbestattung";"Sehr schlecht erhaltenes Skelett; nach Zähnen adult?";2;13;3;11
819;832;"Körperbestattung";"Sehr schlecht erhaltenes Skelett";2;13;3;1
820;833;"Körperbestattung";"Schlecht erhaltenes Skelett [nach L. von mind. 1,6 m mind. juvenil]";2;5;3;1
821;835;"Körperbestattung";"Skelett schlecht erhalten, aber gut beobachtbar; adult";2;4;2;1
821;836;"Brandbestattung A";"Leichenbrand, adult mittel, vermutlich weiblich";3;9;2;2
821;837;"Brandbestattung B";"Leichenbrand, 10-11jährig";3;9;2;2
822;838;"Körperbestattung";"Schlecht erhaltenes Skelett; adult, eher weiblich";2;5;3;1
823;839;"Körperbestattung";"Skelett relativ gut erhalten, rechter Arm rechtwinklig angewinkelt; adult";2;5;1;1
824;840;"Körperbestattung";"Relativ gut erhaltenes Skelett; frühadult [hier wohl 20-30jährig], weiblich";2;6;1;11
825;842;"Körperbestattung";"Skelett mäßig erhalten, aber gut beobachtbar: Unterarme angewinkelt in Bauchregion liegend; adult";2;5;2;1
